CPU time (s),GPU time (s), Cycle
0.000681,0.000423,265
0.000683,0.000369,266
0.000682,0.000338,267
0.000681,0.000369,268
0.000683,0.000335,269
0.000683,0.000373,270
0.000682,0.000368,271
0.000681,0.000338,272
0.000682,0.000416,273
0.000681,0.000344,274
0.000680,0.000338,275
0.000681,0.000386,276
0.000681,0.000337,277
0.000682,0.000419,278
0.000682,0.000411,279
0.000682,0.000419,280
0.000682,0.000414,281
0.000680,0.000416,282
0.000683,0.000413,283
0.000683,0.000384,284
0.000682,0.000380,285
0.000682,0.000336,286
0.000680,0.000335,287
0.000680,0.000364,288
0.000681,0.000351,289
0.000682,0.000331,290
0.000683,0.000336,291
0.000680,0.000347,292
0.000682,0.000382,293
0.000681,0.000361,294
0.000681,0.000392,295
0.000703,0.000336,296
0.000701,0.000333,297
0.000700,0.000346,298
0.000700,0.000416,299
0.000702,0.000328,300
0.000701,0.000415,301
0.000702,0.000418,302
0.000682,0.000413,303
0.000683,0.000424,304
0.000682,0.000418,305
0.000683,0.000412,306
0.000680,0.000412,307
0.000682,0.000413,308
0.000682,0.000410,309
0.000681,0.000386,310
0.000681,0.000381,311
0.000682,0.000347,312
0.000681,0.000336,313
0.000682,0.000343,314
0.000682,0.000348,315
0.000682,0.000339,316
0.000680,0.000339,317
0.000682,0.000338,318
0.000682,0.000336,319
0.000682,0.000338,320
0.000682,0.000338,321
0.000681,0.000349,322
0.000683,0.000336,323
0.000683,0.000419,324
0.000682,0.000335,325
0.000680,0.000338,326
0.000682,0.000417,327
0.000682,0.000378,328
0.000682,0.000420,329
0.000682,0.000369,330
0.000682,0.000338,331
0.000681,0.000341,332
0.000682,0.000340,333
0.000682,0.000338,334
0.000680,0.000342,335
0.000680,0.000338,336
0.000681,0.000337,337
0.000682,0.000342,338
0.000682,0.000362,339
0.000682,0.000339,340
0.000683,0.000334,341
0.000682,0.000341,342
0.000681,0.000337,343
0.000682,0.000339,344
0.000681,0.000375,345
0.000682,0.000339,346
0.000682,0.000378,347
0.000682,0.000338,348
0.000682,0.000337,349
0.000682,0.000383,350
0.000680,0.000336,351
0.000681,0.000347,352
0.000682,0.000341,353
0.000681,0.000343,354
0.000682,0.000398,355
0.000680,0.000385,356
0.000682,0.000387,357
0.000680,0.000325,358
0.000682,0.000335,359
0.000682,0.000339,360
0.000682,0.000364,361
0.000683,0.000340,362
0.000683,0.000338,363
0.000681,0.000372,364
0.000681,0.000332,365
0.000682,0.000340,366
0.000682,0.000340,367
0.000682,0.000369,368
0.000680,0.000334,369
0.000680,0.000343,370
0.000683,0.000385,371
0.000682,0.000336,372
0.000682,0.000381,373
0.000682,0.000339,374
0.000682,0.000380,375
0.000682,0.000410,376
0.000682,0.000367,377
0.000682,0.000348,378
0.000681,0.000379,379
0.000682,0.000375,380
0.000682,0.000420,381
0.000682,0.000369,382
0.000681,0.000491,383
0.000685,0.000530,384
0.000685,0.000494,385
0.000685,0.000444,386
0.000681,0.000448,387
0.000682,0.000458,388
0.000683,0.000417,389
0.000681,0.000445,390
0.000683,0.000456,391
0.000683,0.000455,392
0.000685,0.000432,393
0.000684,0.000458,394
0.000682,0.000462,395
0.000683,0.000458,396
0.000683,0.000452,397
0.000683,0.000445,398
0.000683,0.000464,399
0.000683,0.000460,400
0.000683,0.000465,401
0.000682,0.000455,402
0.000683,0.000455,403
0.000683,0.000453,404
0.000683,0.000448,405
0.000681,0.000448,406
0.000682,0.000465,407
0.000684,0.000513,408
0.000725,0.000454,409
0.000715,0.000423,410
0.000719,0.000451,411
0.000681,0.000458,412
0.000684,0.000465,413
0.000686,0.000461,414
0.000684,0.000462,415
0.000683,0.000427,416
0.000681,0.000444,417
0.000684,0.000427,418
0.000684,0.000439,419
