CPU time (s),GPU time (s), Cycle
0.000685,0.000424,265
0.000683,0.000451,266
0.000684,0.000419,267
0.000692,0.000445,268
0.000682,0.000451,269
0.000683,0.000453,270
0.000683,0.000462,271
0.000682,0.000435,272
0.000683,0.000411,273
0.000682,0.000466,274
0.000696,0.000420,275
0.000682,0.000436,276
0.000682,0.000418,277
0.000700,0.000458,278
0.000685,0.000454,279
0.000684,0.000504,280
0.000683,0.000446,281
0.000681,0.000465,282
0.000681,0.000446,283
0.000682,0.000452,284
0.000692,0.000413,285
0.000684,0.000460,286
0.000682,0.000429,287
0.000701,0.000424,288
0.000683,0.000438,289
0.000682,0.000428,290
0.000682,0.000436,291
0.000679,0.000428,292
0.000682,0.000412,293
0.000683,0.000459,294
0.000692,0.000401,295
0.000683,0.000375,296
0.000681,0.000440,297
0.000684,0.000516,298
0.000677,0.000425,299
0.000682,0.000438,300
0.000683,0.000415,301
0.000690,0.000407,302
0.000684,0.000443,303
0.000682,0.000468,304
0.000683,0.000440,305
0.000686,0.000427,306
0.000682,0.000454,307
0.000681,0.000431,308
0.000696,0.000416,309
0.000682,0.000456,310
0.000682,0.000413,311
0.000682,0.000468,312
0.000683,0.000454,313
0.000682,0.000450,314
0.000682,0.000459,315
0.000697,0.000463,316
0.000683,0.000431,317
0.000683,0.000450,318
0.000693,0.000413,319
0.000684,0.000418,320
0.000682,0.000458,321
0.000682,0.000473,322
0.000683,0.000418,323
0.000683,0.000452,324
0.000683,0.000436,325
0.000694,0.000417,326
0.000683,0.000461,327
0.000682,0.000434,328
0.000682,0.000433,329
0.000684,0.000492,330
0.000683,0.000482,331
0.000681,0.000470,332
0.000683,0.000496,333
0.000684,0.000472,334
0.000681,0.000456,335
0.000693,0.000446,336
0.000683,0.000486,337
0.000682,0.000461,338
0.000701,0.000431,339
0.000686,0.000433,340
0.000681,0.000465,341
0.000683,0.000482,342
0.000677,0.000428,343
0.000683,0.000457,344
0.000683,0.000457,345
0.000695,0.000417,346
0.000682,0.000433,347
0.000681,0.000469,348
0.000684,0.000437,349
0.000681,0.000423,350
0.000682,0.000417,351
0.000682,0.000448,352
0.000692,0.000419,353
0.000682,0.000465,354
0.000684,0.000424,355
0.000696,0.000416,356
0.000684,0.000456,357
0.000683,0.000434,358
0.000683,0.000458,359
0.000682,0.000426,360
0.000681,0.000421,361
0.000681,0.000467,362
0.000692,0.000435,363
0.000682,0.000444,364
0.000682,0.000446,365
0.000682,0.000489,366
0.000684,0.000441,367
0.000683,0.000415,368
0.000681,0.000449,369
0.000693,0.000453,370
0.000683,0.000459,371
0.000682,0.000447,372
0.000684,0.000465,373
0.000683,0.000423,374
0.000683,0.000482,375
0.000683,0.000545,376
0.000682,0.000538,377
0.000686,0.000463,378
0.000682,0.000452,379
0.000681,0.000466,380
0.000701,0.000455,381
0.000683,0.000455,382
0.000683,0.000447,383
0.000696,0.000425,384
0.000682,0.000444,385
0.000682,0.000454,386
0.000682,0.000490,387
0.000684,0.000430,388
0.000682,0.000429,389
0.000682,0.000448,390
0.000694,0.000386,391
0.000682,0.000439,392
0.000682,0.000354,393
0.000685,0.000459,394
0.000684,0.000437,395
0.000682,0.000438,396
0.000679,0.000446,397
0.000693,0.000433,398
0.000682,0.000468,399
0.000683,0.000446,400
0.000699,0.000445,401
0.000681,0.000447,402
0.000687,0.000504,403
0.000684,0.000513,404
0.000683,0.000455,405
0.000683,0.000465,406
0.000680,0.000541,407
0.000686,0.000489,408
0.000683,0.000477,409
0.000683,0.000495,410
0.000693,0.000473,411
0.000683,0.000454,412
0.000687,0.000491,413
0.000695,0.000444,414
0.000683,0.000445,415
0.000682,0.000473,416
0.000681,0.000454,417
0.000683,0.000488,418
0.000684,0.000471,419
0.000682,0.000450,420
0.000696,0.000471,421
0.000684,0.000464,422
0.000682,0.000458,423
0.000683,0.000464,424
0.000686,0.000411,425
0.000682,0.000550,426
0.000683,0.000465,427
0.000699,0.000509,428
0.000682,0.000501,429
0.000683,0.000460,430
0.000685,0.000449,431
0.000689,0.000346,432
0.000680,0.000361,433
0.000683,0.000421,434
0.000681,0.000372,435
0.000681,0.000352,436
0.000681,0.000418,437
0.000682,0.000345,438
0.000680,0.000336,439
0.000681,0.000346,440
0.000681,0.000375,441
0.000682,0.000340,442
0.000693,0.000375,443
0.000680,0.000345,444
0.000680,0.000326,445
0.000683,0.000408,446
0.000682,0.000366,447
0.000682,0.000371,448
0.000682,0.000406,449
0.000681,0.000338,450
0.000681,0.000332,451
0.000681,0.000383,452
0.000681,0.000430,453
0.000693,0.000414,454
0.000681,0.000437,455
0.000681,0.000417,456
0.000681,0.000378,457
0.000691,0.000370,458
0.000680,0.000413,459
0.000680,0.000349,460
0.000681,0.000365,461
0.000688,0.000425,462
0.000680,0.000398,463
0.000681,0.000333,464
0.000681,0.000372,465
0.000681,0.000345,466
0.000680,0.000342,467
0.000680,0.000365,468
0.000681,0.000424,469
0.000680,0.000343,470
0.000681,0.000390,471
0.000681,0.000389,472
0.000680,0.000361,473
0.000690,0.000339,474
0.000681,0.000388,475
0.000681,0.000350,476
0.000682,0.000352,477
0.000690,0.000427,478
0.000680,0.000361,479
0.000680,0.000346,480
0.000681,0.000388,481
0.000692,0.000356,482
0.000681,0.000381,483
0.000681,0.000389,484
0.000680,0.000347,485
0.000691,0.000339,486
0.000680,0.000339,487
0.000682,0.000376,488
0.000681,0.000419,489
0.000689,0.000387,490
